channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score
402,3,2017-05-22T00:00:09+02:00,00:01:43:00,Jean Sebastien Bach,Prélude en Mi Maj BWV 937,Zuzana Ruzickova : Bach the complete keyboard works / CD 14,2016-01-01,,Musique soliste,Zuzana Ruzickova,Clavecin,,
402,4,2017-05-22T00:01:52+02:00,00:03:18:00,Jean Sebastien Bach,Concerto pour clavecin en fa min BWV 1056 : 1. Allegro,Jean-Sébastien Bach : Concertos pour clavecin BWV 1052 à 1058,2017-01-01,,Musique symphonique,Zuzana Ruzickova;Solistes De Chambre De Prague;Vaclav Neumann,Clavecin;Orchestre;Chef d'orchestre,,
402,5,2017-05-22T00:05:10+02:00,00:03:29:00,Jean Sebastien Bach,Concerto pour clavecin en fa min BWV 1056 : 2. Largo,Jean-Sébastien Bach : Concertos pour clavecin BWV 1052 à 1058,2017-01-01,,Musique symphonique,Zuzana Ruzickova;Solistes De Chambre De Prague;Vaclav Neumann,Clavecin;Orchestre;Chef d'orchestre,,
402,6,2017-05-22T00:08:39+02:00,00:04:10:00,Jean Sebastien Bach,Concerto pour clavecin en fa min BWV 1056 : 3. Presto,Jean-Sébastien Bach : Concertos pour clavecin BWV 1052 à 1058,2017-01-01,,Musique symphonique,Zuzana Ruzickova;Solistes De Chambre De Prague;Vaclav Neumann,Clavecin;Orchestre;Chef d'orchestre,,
402,8,2017-05-22T00:12:53+02:00,00:02:46:00,Henry Purcell,Music for the funeral of Queen Mary Z 860 : The Queen's Funeral March Sounded Before Her Chariot - pour orchestre,Son of England,2017-01-01,,Musique ancienne,Le Poeme Harmonique;Vincent Dumestre,Orchestre;Chef d'orchestre,,
402,9,2017-05-22T00:15:39+02:00,00:02:27:00,Henry Purcell,Burial service : Man that is born of a woman Z 27 - pour solistes choeur et basse continue,Son of England,2017-01-01,,Musique ancienne,Geoffroy Jourdain;Katherine Watson;Nicholas Tamagna;Jeffrey Thompson;Geoffroy Buffière;Le Poeme Harmonique;Vincent Dumestre,Soprano;Contre-ténor;Ténor;Basse (voix);Orchestre;Chef d'orchestre,,
402,10,2017-05-22T00:18:06+02:00,00:01:32:00,Henry Purcell,Burial service : In the midst of life Z 27 - pour solistes choeur et basse continue,Son of England,2017-01-01,,Musique ancienne,Geoffroy Jourdain;Katherine Watson;Nicholas Tamagna;Jeffrey Thompson;Geoffroy Buffière;Le Poeme Harmonique;Vincent Dumestre,Soprano;Contre-ténor;Ténor;Basse (voix);Orchestre;Chef d'orchestre,,
402,11,2017-05-22T00:19:38+02:00,00:02:46:00,Henry Purcell,Burial service : Yet O Lord most mighty Z 27 - pour solistes choeur et basse continue,Son of England,2017-01-01,,Musique ancienne,Geoffroy Jourdain;Katherine Watson;Nicholas Tamagna;Jeffrey Thompson;Geoffroy Buffière;Le Poeme Harmonique;Vincent Dumestre,Soprano;Contre-ténor;Ténor;Basse (voix);Orchestre;Chef d'orchestre,,
402,12,2017-05-22T00:22:24+02:00,00:02:10:00,Henry Purcell,Music for the funeral of Queen Mary Z 860 : Canzona - pour orchestre,Son of England,2017-01-01,,Musique ancienne,Le Poeme Harmonique;Vincent Dumestre,Orchestre;Chef d'orchestre,,
402,13,2017-05-22T00:24:34+02:00,00:02:31:00,Henry Purcell,Burial service : thou knowest lord z 58c - pour solistes choeur et basse continue,Son of England,2017-01-01,,Musique ancienne,Geoffroy Jourdain;Katherine Watson;Nicholas Tamagna;Jeffrey Thompson;Geoffroy Buffière;Le Poeme Harmonique;Vincent Dumestre,Soprano;Contre-ténor;Ténor;Basse (voix);Orchestre;Chef d'orchestre,,
402,15,2017-05-22T00:27:11+02:00,00:12:59:00,Wolfgang Amadeus Mozart,Concerto pour piano et orchestre n°24 en ut min K 491 : 1. Allegro,Lili Kraus plays Mozart Piano Concertos / The Complete Columbia Recordings 1965-1966 / CD 3,2017-01-01,,Musique symphonique,Lili Kraus;Orchestre Du Festival De Vienne;Stephen Simon,Piano;Orchestre;Chef d'orchestre,,
402,16,2017-05-22T00:40:10+02:00,00:07:31:00,Wolfgang Amadeus Mozart,Concerto pour piano et orchestre n°24 en ut min K 491 : 2. Larghetto,Lili Kraus plays Mozart Piano Concertos / The Complete Columbia Recordings 1965-1966 / CD 3,2017-01-01,,Musique symphonique,Lili Kraus;Orchestre Du Festival De Vienne;Stephen Simon,Piano;Orchestre;Chef d'orchestre,,
402,17,2017-05-22T00:47:41+02:00,00:08:57:00,Wolfgang Amadeus Mozart,Concerto pour piano et orchestre n°24 en ut min K 491 : 3. Allegretto,Lili Kraus plays Mozart Piano Concertos / The Complete Columbia Recordings 1965-1966 / CD 3,2017-01-01,,Musique symphonique,Lili Kraus;Orchestre Du Festival De Vienne;Stephen Simon,Piano;Orchestre;Chef d'orchestre,,
402,19,2017-05-22T00:56:42+02:00,00:09:07:00,Franz Schubert,Impromptu pour piano en ut min op 90 n°1 D 899 n°1,Artur Schnabel : The RCA Victor Recordings,2017-01-01,,Musique symphonique,Artur Schnabel,Piano,,
402,20,2017-05-22T01:05:49+02:00,00:04:13:00,Franz Schubert,Impromptu pour piano en Mi bémol Maj op 90 n°2 D 899 n°2,Artur Schnabel : The RCA Victor Recordings,2017-01-01,,Musique symphonique,Artur Schnabel,Piano,,
402,21,2017-05-22T01:10:02+02:00,00:05:16:00,Franz Schubert,Impromptu pour piano en Sol bémol Maj op 90 n°3 D 899 n°3,Artur Schnabel : The RCA Victor Recordings,2017-01-01,,Musique symphonique,Artur Schnabel,Piano,,
402,22,2017-05-22T01:15:18+02:00,00:07:00:00,Franz Schubert,Impromptu pour piano en La bémol Maj op 90 n°4 D 899 n°4,Artur Schnabel : The RCA Victor Recordings,2017-01-01,,Musique symphonique,Artur Schnabel,Piano,,
402,24,2017-05-22T01:22:31+02:00,00:03:09:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Introduction,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,25,2017-05-22T01:25:40+02:00,00:03:09:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Augures printaniers - Danse des adolescentes,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,26,2017-05-22T01:28:49+02:00,00:01:23:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Jeu du rapt,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,27,2017-05-22T01:30:12+02:00,00:03:34:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Rondes printanières,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,28,2017-05-22T01:33:46+02:00,00:01:48:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Jeu des cités rivales,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,29,2017-05-22T01:35:34+02:00,00:00:40:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Cortège du sage,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,30,2017-05-22T01:36:14+02:00,00:00:20:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Adoration de la terre - Le sage,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,31,2017-05-22T01:36:34+02:00,00:01:08:00,Igor Stravinsky,Le sacre du printemps : L'adoration de la terre (1er tableau) : Danse de la Terre,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,32,2017-05-22T01:37:42+02:00,00:04:27:00,Igor Stravinsky,Le sacre du printemps : Le sacrifice (2ème tableau) : Introduction,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,33,2017-05-22T01:42:09+02:00,00:03:15:00,Igor Stravinsky,Le sacre du printemps : Le sacrifice (2ème tableau) : Cercles mystérieux des adolescentes,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,34,2017-05-22T01:45:24+02:00,00:01:25:00,Igor Stravinsky,Le sacre du printemps : Le sacrifice (2ème tableau) : Glorification de l'élue,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,35,2017-05-22T01:46:49+02:00,00:00:53:00,Igor Stravinsky,Le sacre du printemps : Le sacrifice (2ème tableau) : Evocation des ancêtres,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,36,2017-05-22T01:47:42+02:00,00:03:31:00,Igor Stravinsky,Le sacre du printemps : Le sacrifice (2ème tableau) : Action rituelle des ancêtres,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
402,37,2017-05-22T01:51:13+02:00,00:04:01:00,Igor Stravinsky,Le sacre du printemps :Le sacrifice (2ème tableau) : Danse sacrale,Seiji Ozawa : The complete RCA Recordings / CD 3,2017-01-01,,Musique symphonique,Orchestre Symphonique De Chicago;Seiji Ozawa,Orchestre;Chef d'orchestre,,
