channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
406,4,2017-04-17T00:00:49+02:00,00:02:13:00,Gyorgy Kurtag,3 pièces op 38 : Adagio - pour clarinette et cymbalum,Voyage(s) à l'est,,,Musique de chambre,Florent Charpentier;Luigi Gaggero,Clarinette;Cymbalum,,,http://data.doremus.org/artist/27018979-6c9d-32f1-ad49-c237e85b3d1b
406,5,2017-04-17T00:03:02+02:00,00:00:48:00,Gyorgy Kurtag,3 pièces op 38 : All'ongherese - pour clarinette et cymbalum,Voyage(s) à l'est,,,Musique de chambre,Florent Charpentier;Luigi Gaggero,Clarinette;Cymbalum,,,http://data.doremus.org/artist/27018979-6c9d-32f1-ad49-c237e85b3d1b
406,6,2017-04-17T00:03:50+02:00,00:00:31:00,Gyorgy Kurtag,3 pièces op 38 : Introduzione al epilogo - pour clarinette et cymbalum,Voyage(s) à l'est,,,Musique de chambre,Florent Charpentier;Luigi Gaggero,Clarinette;Cymbalum,,,http://data.doremus.org/artist/27018979-6c9d-32f1-ad49-c237e85b3d1b
406,7,2017-04-17T00:04:21+02:00,00:01:22:00,Gyorgy Kurtag,3 pièces op 38 : Epilogo - pour clarinette et cymbalum,Voyage(s) à l'est,,,Musique de chambre,Florent Charpentier;Luigi Gaggero,Clarinette;Cymbalum,,,http://data.doremus.org/artist/27018979-6c9d-32f1-ad49-c237e85b3d1b
406,8,2017-04-17T00:05:43+02:00,00:03:14:00,Konstantia Gourzi,Kastalia op 35 : Versenkung : Pour saz et quatuor à cordes,Konstantia Gourzi : Leratiki et autres oeuvres,2009-01-01,,Musique de chambre,Quatuor Apollon;Michalis Cholevas;Konstantia Gourzi,Chef d'orchestre,,,
406,9,2017-04-17T00:08:57+02:00,00:06:54:00,,Ascending bird,Silent city,2008-01-01,,Musique du monde,Kalhor Kayhan & Brooklyn Rider,,,,
406,10,2017-04-17T00:15:51+02:00,00:03:43:00,Daniel Brel,Mouette - pour bandonéon et théorbe,Quatre chemins de mélancolie,2003-01-01,,Musique contemporaine,Vincent Dumestre;Daniel Brel,Théorbe;Bandonéon,,,http://data.doremus.org/artist/36c6189a-1976-37d8-9d4c-46b691fd759a
406,13,2017-04-17T00:20:22+02:00,00:06:12:00,Fazil Say,Hezarfen op 39 : Istanbul 1632 - concerto pour nay et orchestre,Fazil Say : Istanbul Symphony et Hezarfen,,,Musique symphonique,Burcu Karadag;Aykut Koselerli;Orchestre Du Theatre National De Mannheim;Dan Ettinger,Nay (flûte);Vibraphone Percussions;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/838395af-8d21-3a8f-8a7c-61365ade372d
406,14,2017-04-17T00:26:34+02:00,00:04:58:00,Fazil Say,Hezarfen op 39 : Galata Tower - concerto pour nay et orchestre,Fazil Say : Istanbul Symphony et Hezarfen,,,Musique symphonique,Burcu Karadag;Aykut Koselerli;Orchestre Du Theatre National De Mannheim;Dan Ettinger,Nay (flûte);Vibraphone Percussions;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/838395af-8d21-3a8f-8a7c-61365ade372d
406,15,2017-04-17T00:31:32+02:00,00:07:31:00,Fazil Say,Hezarfen op 39 : The flight - concerto pour nay et orchestre,Fazil Say : Istanbul Symphony et Hezarfen,,,Musique symphonique,Burcu Karadag;Aykut Koselerli;Orchestre Du Theatre National De Mannheim;Dan Ettinger,Nay (flûte);Vibraphone Percussions;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/838395af-8d21-3a8f-8a7c-61365ade372d
406,16,2017-04-17T00:39:03+02:00,00:07:04:00,Fazil Say,Hezarfen op 39 : Algerian exile - concerto pour nay et orchestre,Fazil Say : Istanbul Symphony et Hezarfen,,,Musique symphonique,Burcu Karadag;Aykut Koselerli;Orchestre Du Theatre National De Mannheim;Dan Ettinger,Nay (flûte);Vibraphone Percussions;Orchestre;Chef d'orchestre,,,http://data.doremus.org/artist/838395af-8d21-3a8f-8a7c-61365ade372d
406,18,2017-04-17T00:46:38+02:00,00:01:04:00,Daniel Teruggi,Summer band : 1ère partie - pour bandonéon et bande,The Four Seasons,2015-01-01,,Musique contemporaine,Juan Jose Mosalini,Bandonéon,http://data.doremus.org/expression/8d531eeb-d53c-32b5-bb32-4ba9e881be6a,1.00,http://data.doremus.org/artist/08965447-19f1-3063-a7b1-233ee0667b3e
406,19,2017-04-17T00:47:42+02:00,00:01:36:00,Daniel Teruggi,Summer band : 2ème partie - pour bandonéon et bande,The Four Seasons,2015-01-01,,Musique contemporaine,Juan Jose Mosalini,Bandonéon,http://data.doremus.org/expression/8d531eeb-d53c-32b5-bb32-4ba9e881be6a,1.00,http://data.doremus.org/artist/08965447-19f1-3063-a7b1-233ee0667b3e
406,20,2017-04-17T00:49:18+02:00,00:08:16:00,,Improvisation nº7 pour piano cloches a vaches flute des andes clarinette flutes et claviers,Hexameron,,,Musique contemporaine,Bruno Chevillon;Patrick Scheyder,Contrebasse;Piano,,,
406,21,2017-04-17T00:57:34+02:00,00:01:06:00,Gyorgy Ligeti,Musica ricercata : Allegro con spirito - arrangement pour accordéon,Hungarian Diary / Teodoro Anzellotti interprète Ligeti Kurtag et Liszt,2014-01-01,,Musique de chambre,Teodoro Anzellotti,Accordéon,,,http://data.doremus.org/artist/06362f05-8225-3431-ad18-32075bcf5d73
406,22,2017-04-17T00:58:40+02:00,00:01:51:00,Gyorgy Ligeti,Musica ricercata : Tempo di valse ( orgue de Barbarie) - arrangement pour accordéon,Hungarian Diary / Teodoro Anzellotti interprète Ligeti Kurtag et Liszt,2014-01-01,,Musique de chambre,Teodoro Anzellotti,Accordéon,,,http://data.doremus.org/artist/06362f05-8225-3431-ad18-32075bcf5d73
406,23,2017-04-17T01:00:31+02:00,00:03:49:00,Gyorgy Ligeti,Musica ricercata : Rubato - arrangement pour accordéon,Hungarian Diary / Teodoro Anzellotti interprète Ligeti Kurtag et Liszt,2014-01-01,,Musique de chambre,Teodoro Anzellotti,Accordéon,,,http://data.doremus.org/artist/06362f05-8225-3431-ad18-32075bcf5d73
406,26,2017-04-17T01:05:20+02:00,00:05:59:00,Matthew Welch,Self and the other double concerto pour cornemuse piano et ensemble de percussions : Mirrors,Dream tigers,2005-01-01,,Musique contemporaine,Ensemble De Percussions Csu,Percussions,,,http://data.doremus.org/artist/33628013-9619-3465-9c61-d13731d0134b
406,27,2017-04-17T01:11:19+02:00,00:05:13:00,Matthew Welch,Self and the other double concerto pour cornemuse piano et ensemble de percussions : Memory,Dream tigers,2005-01-01,,Musique contemporaine,Ensemble De Percussions Csu,Percussions,,,http://data.doremus.org/artist/33628013-9619-3465-9c61-d13731d0134b
406,28,2017-04-17T01:16:32+02:00,00:04:52:00,Matthew Welch,Self and the other double concerto pour cornemuse piano et ensemble de percussions : Heraclitus,Dream tigers,2005-01-01,,Musique contemporaine,Ensemble De Percussions Csu,Percussions,,,http://data.doremus.org/artist/33628013-9619-3465-9c61-d13731d0134b
406,29,2017-04-17T01:21:24+02:00,00:05:00:00,Daniel Brel,Sous l'écorce - pour bandonéon et 4 violes,Quatre chemins de mélancolie,2003-01-01,,Musique contemporaine,Daniel Brel;Le Poeme Harmonique;Kaori Uemura;Martin Bauer;Sylvia Abramowicz;Isabelle Saint Yves;Vincent Dumestre,Bandonéon;Dessus de viole;Basse de viole;Basse de viole;Basse de viole;Chef d'orchestre,,,http://data.doremus.org/artist/36c6189a-1976-37d8-9d4c-46b691fd759a
406,32,2017-04-17T01:27:00+02:00,00:04:51:00,Philippe Foch,Ujaraq - pour tablas cornemuse et traitement électronique,Philippe Foch : Taarang,2015-01-01,,Musique contemporaine,Philippe Foch;Erwan Keravec,Tabla (timbales);Cornemuse,,,
406,33,2017-04-17T01:31:51+02:00,00:14:21:00,,Between the heavens and me,Kalhor Kayhan,,,Musique traditionnelle,Kayhan Kalhor;Ali Bahrami Fard,Vièle;Santur (cithare),,,
406,34,2017-04-17T01:46:12+02:00,00:01:58:00,George Crumb,Makrokosmos I : Music of shadows / Pour harpe éolienne / Balance,George Crumb : Makrokosmos volume I et II,2003-01-01,,Musique contemporaine,Toros Can,Piano,http://data.doremus.org/expression/66750252-ffc1-3389-8125-f19b6e5e7f08,0.92,http://data.doremus.org/artist/3abc8276-4cd7-38e0-855e-4e8c920cd7a8
406,35,2017-04-17T01:48:10+02:00,00:02:30:00,George Crumb,Makrokosmos II : Morning music / Genesis II / Cancer,George Crumb : Makrokosmos volume I et II,2003-01-01,,Musique contemporaine,Toros Can,Piano,http://data.doremus.org/expression/66750252-ffc1-3389-8125-f19b6e5e7f08,0.86,http://data.doremus.org/artist/3abc8276-4cd7-38e0-855e-4e8c920cd7a8
406,38,2017-04-17T01:51:49+02:00,00:04:36:00,Elzbieta Sikora,Suite II pour clavecin bande magnétique et dispositif électronique en temps réel : Allegro ma non troppo,Elzbieta Sikora : Solo and electronics,,,Musique contemporaine,Goska Isphording,Clavecin,,,http://data.doremus.org/artist/bb057432-0412-3943-b18e-ee3ecfce90c1
406,39,2017-04-17T01:56:25+02:00,00:03:13:00,Elzbieta Sikora,Suite II pour clavecin bande magnétique et dispositif électronique en temps réel : Largo - Vivace,Elzbieta Sikora : Solo and electronics,,,Musique contemporaine,Goska Isphording,Clavecin,,,http://data.doremus.org/artist/bb057432-0412-3943-b18e-ee3ecfce90c1
406,40,2017-04-17T01:59:38+02:00,00:03:34:00,Elzbieta Sikora,Suite II pour clavecin bande magnétique et dispositif électronique en temps réel : La valse,Elzbieta Sikora : Solo and electronics,,,Musique contemporaine,Goska Isphording,Clavecin,,,http://data.doremus.org/artist/bb057432-0412-3943-b18e-ee3ecfce90c1
406,41,2017-04-17T02:03:12+02:00,00:03:50:00,Elzbieta Sikora,Suite II pour clavecin bande magnétique et dispositif électronique en temps réel : Finale,Elzbieta Sikora : Solo and electronics,,,Musique contemporaine,Goska Isphording,Clavecin,,,http://data.doremus.org/artist/bb057432-0412-3943-b18e-ee3ecfce90c1
406,42,2017-04-17T02:07:02+02:00,00:11:51:00,Olivier Hue,Les mouvements immobiles : Pour guitare guitare préparée qin Japonais piano et électronique,Koinobios,1995-01-01,,Musique contemporaine,Quattrophage;Blaise Pavie;Olivier Hue,Piano;Guitare,,,
406,45,2017-04-17T02:19:25+02:00,00:13:44:00,Pierre Yves Mace,Segments et apostilles : 1ère partie - pour flûte traversière basse harpe cimbalom violoncelle et bande magnétique,Pierre Yves Macé : Segments et apostilles,2013-01-01,,Musique contemporaine,L'Instant Donne;Nicolas Carpentier;Esther Davoust;Maxime Echardour;Cedric Jullion,Violoncelle;Harpe;Flûte traversière basse,http://data.doremus.org/expression/dd246ffd-777d-362e-a1b0-097053b6b391,1.00,http://data.doremus.org/artist/11084508-04bc-3063-9fd9-c050db73eed1
406,46,2017-04-17T02:33:09+02:00,00:05:40:00,,La rhombe et le peigne,Virtuel meeting,2003-01-01,,Musique contemporaine,Xavier Garcia;Jean Paul Autin;Chris Culter;Lucia Recio,Saxophone soprano;Batterie;Voix,,,
406,47,2017-04-17T02:38:49+02:00,00:07:02:00,Yin Chen Chien,Cloud walkingPOUR PIPA ET ENSEMBLE INSTRUMENTAL,Purr,2003-01-01,,Musique de chambre,Min Xiao-Fen;Jayn Rosenfeld;Paul Hostetter,Pipa (luth);Flûte traversière;Chef d'orchestre,,,
406,50,2017-04-17T02:46:20+02:00,00:06:48:00,Matthias Kaul,Hendrix - pour timbales avec effets électroniques et récitant,Matthias Kaul : Solopercussion,1999-01-01,,Musique contemporaine,Matthias Kaul,Timbales Voix,,,
406,51,2017-04-17T02:53:08+02:00,00:11:46:00,Anthony Braxton,Composition n°10 - arrangement pour 5 instruments (1ère version),Anthony Braxton : Compositions n°10 et n°16,1998-01-01,,Musique contemporaine,Guillermo Gregorio;Carrie Biolo;Michael Cameron;Gene Coleman;Jim Orourke,Saxophone alto;Percussions;Contrebasse;Clarinette basse;Accordéon,,,http://data.doremus.org/artist/f973453b-2728-379a-9d99-7a4dea87063b
