user	id	name	n_total	n_matched	followers
unclassifiedofficial	0K7eJJa4mjtkp8pcBhvtpR	Need to Know: Chopin	34	34	21841
iloveplaylists	1NNYUduxzrtLDYoyTjAMmW	Je n'aime pas le Classique	41	29	9535
mejoresplaylistsspotify	2FfAi71dM3LJ9UwghwxEtF	Sleep Time	63	14	12261
sonyclassicalbenelux	2MGfLgZXgSXDsYN3CzaNps	Werken met Klassiek	55	34	2004
spotify	37i9dQZF1DWSMyxanxz54I	Jean Sibelius - Composer Weekly #005	30	28	2320
spotify	37i9dQZF1DWSPYCQqDPtY7	Spotify Orchestra: Double Bass	50	18	3946
spotify	37i9dQZF1DWSXyN2w7ILMl	Peaceful Choral Music by Living Composers	50	18	46403
spotify	37i9dQZF1DWTZaA3VFnR5i	Classical World: UK & Ireland	50	31	1743
spotify	37i9dQZF1DWUL3kA2TtHbs	Classical World: Finland	30	13	552
spotify	37i9dQZF1DWUPafHP1BJw1	Pop Goes Classical	60	0	13551
spotify	37i9dQZF1DWUfMnnPBigKP	Symphony of the Winds	50	20	6647
spotify	37i9dQZF1DWV0gynK7G6pD	Classical New Releases: Spotify Picks	50	29	193473
spotify	37i9dQZF1DWVQTBWd2FvK6	Spotify Orchestra: Viola	50	21	5284
spotify	37i9dQZF1DWVfS4Cdd3PNf	Opera 100: Spotify Picks	100	64	96045
spotify	37i9dQZF1DWW97v8hMjYEZ	Classical World: Spain	50	31	3373
spotify	37i9dQZF1DWWEJlAGA9gs0	Classical Essentials	50	42	582791
spotify	37i9dQZF1DWWcdoD971JiK	Art of Fugue	38	19	11072
spotify	37i9dQZF1DWWpvJ8TvRI7m	David Lang - Composer Weekly #061	30	9	1993
spotify	37i9dQZF1DWWusEYOQAF3N	Classical World: Italy	50	25	5908
spotify	37i9dQZF1DWWz5UlCOYxeE	Classical World: Denmark	30	13	477
spotify	37i9dQZF1DWXBq4mDDFnfA	Classical Guitar 50: Spotify Picks	50	22	48535
spotify	37i9dQZF1DWXMEbgClM8hw	All About That Brass	50	11	16369
spotify	37i9dQZF1DWXXW8bE6k5tq	John Williams' Non-film Music - Composer Weekly #066	30	5	1644
spotify	37i9dQZF1DWXjj6kdiviS0	Baroque 50: Spotify Picks	50	30	90157
spotify	37i9dQZF1DWYMDP0EcdRK6	Classical World: Austria	40	23	1074
spotify	37i9dQZF1DWYZW76Iw4Lij	Medieval 50: Spotify Picks	50	20	26454
spotify	37i9dQZF1DWYi4w24l7FTx	Spotify Orchestra: Cello	50	26	156096
spotify	37i9dQZF1DWYiS8hkmdLyc	Classical World: Belgium & The Netherlands	30	13	668
spotify	37i9dQZF1DWYtpM7d4h5Xa	Pop Songs Based on Classical Music	100	36	4637
spotify	37i9dQZF1DWZm0IlR3JPVY	Spring Classical	50	30	19924
spotify	37i9dQZF1DWZsmkMiH7wkJ	John Adams - Composer Weekly #067	30	17	570
spotify	37i9dQZF1DX0CM2xT3aAkN	Essence of the Renaissance	50	21	37400
spotify	37i9dQZF1DX0i61tT0OnnK	Space-themed Classical Music	75	11	85231
spotify	37i9dQZF1DX0ynPp7KaiSY	Winter Classical	50	30	22451
spotify	37i9dQZF1DX10uaP8FoDNe	Minimalism	50	6	72632
spotify	37i9dQZF1DX1uiBEEB5wRG	Piano Transcriptions 50: Spotify Picks	50	31	7998
spotify	37i9dQZF1DX20xDs0SXeZu	Classical Era 50: Spotify Picks	50	37	28138
spotify	37i9dQZF1DX21bRPJuEN7r	Composer Weekly: Johann Nepomuk Hummel	30	25	115206
spotify	37i9dQZF1DX2b0K0xjrlYe	Classical World: Iceland	30	1	2903
spotify	37i9dQZF1DX2jpVXYbZ1Zw	Classical World: Norway	30	5	816
spotify	37i9dQZF1DX2mmt7R81K2b	Jazz – Classical Crossings	45	7	124743
spotify	37i9dQZF1DX3pxhv0SnNNN	Steve Reich - Composer Weekly #048	30	23	3451
spotify	37i9dQZF1DX43qoHiOOgIz	Classical World: Mexico	40	11	11497
spotify	37i9dQZF1DX4s3V2rTswzO	Classical Romance	100	70	175605
spotify	37i9dQZF1DX561TxkFttR4	88 Keys	88	2	207380
spotify	37i9dQZF1DX5AviTMPF0km	Contemporary Chinese Classical	28	2	16684
spotify	37i9dQZF1DX5hL1aT2vhMb	Women of Classical	50	8	16256
spotify	37i9dQZF1DX6Cc1xytKlor	Classical World: Argentina	30	11	2056
spotify	37i9dQZF1DX6K3W8KBiALe	Classical Moments in Movies	50	28	81807
spotify	37i9dQZF1DX6Oqe1LC2A2s	Next Classical	50	14	35400
spotify	37i9dQZF1DX6gv78LyipEI	Classical World: Australia & New Zealand	30	2	429
