index;playlist;population;predicted100;predicted200;predicted500
0;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.artist.txt;40;8.775;14.45;21.25
1;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.artist.txt;31;4.387096774193548;7.387096774193548;12.290322580645162
2;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.artist.txt;22;5.2272727272727275;8.772727272727273;10.363636363636363
3;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.artist.txt;44;7.568181818181818;12.613636363636363;24.113636363636363
4;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.artist.txt;34;16.705882352941178;21.5;29.08823529411765
5;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.artist.txt;49;6.387755102040816;10.877551020408163;24.102040816326532
6;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.artist.txt;27;3.888888888888889;7.333333333333333;16.88888888888889
7;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.artist.txt;45;7.133333333333334;12.555555555555555;27.77777777777778
8;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.artist.txt;43;11.325581395348838;20.790697674418606;34.13953488372093
9;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.artist.txt;46;10.456521739130435;18.02173913043478;31.456521739130434
10;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.artist.txt;92;15.130434782608695;26.72826086956522;43.29347826086956
11;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.artist.txt;46;6.326086956521739;11.673913043478262;31.847826086956523
12;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.artist.txt;92;21.72826086956522;36.76086956521739;56.67391304347826
13;37i9dQZF1DWWcdoD971JiK.Art of Fugue.artist.txt;32;6.625;10.59375;19.5
14;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.artist.txt;49;9.204081632653061;17.489795918367346;34.734693877551024
15;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.artist.txt;25;2.76;4.56;11.4
16;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.artist.txt;41;6.2439024390243905;9.536585365853659;20.0
17;37i9dQZF1DWXMEbgClM8hw.All About That Brass.artist.txt;39;5.153846153846154;9.666666666666666;21.512820512820515
18;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.artist.txt;48;30.875;34.458333333333336;38.875
19;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.artist.txt;38;8.210526315789474;16.973684210526315;30.57894736842105
20;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.artist.txt;33;16.303030303030305;16.454545454545453;17.727272727272727
21;37i9dQZF1DWYi4w24l7FTx.Spotify Orchestra: Cello.artist.txt;44;13.409090909090908;20.90909090909091;30.40909090909091
22;37i9dQZF1DWYiS8hkmdLyc.Classical World: Belgium & The Netherlands.artist.txt;28;5.5;8.142857142857142;15.428571428571429
23;37i9dQZF1DWYtpM7d4h5Xa.Pop Songs Based on Classical Music.artist.txt;43;9.883720930232558;16.11627906976744;25.069767441860463
24;37i9dQZF1DWZm0IlR3JPVY.Spring Classical.artist.txt;46;10.543478260869565;17.5;26.891304347826086
25;37i9dQZF1DX0CM2xT3aAkN.Essence of the Renaissance.artist.txt;46;27.782608695652176;28.782608695652176;32.391304347826086
26;37i9dQZF1DX0i61tT0OnnK.Space-themed Classical Music.artist.txt;55;7.890909090909091;13.327272727272728;25.436363636363637
27;37i9dQZF1DX0ynPp7KaiSY.Winter Classical.artist.txt;45;8.044444444444444;13.422222222222222;22.022222222222222
28;37i9dQZF1DX10uaP8FoDNe.Minimalism.artist.txt;30;7.133333333333334;12.533333333333333;19.666666666666668
29;37i9dQZF1DX1uiBEEB5wRG.Piano Transcriptions 50: Spotify Picks.artist.txt;42;15.595238095238095;20.88095238095238;24.80952380952381
30;37i9dQZF1DX20xDs0SXeZu.Classical Era 50: Spotify Picks.artist.txt;48;19.708333333333332;22.625;23.229166666666668
31;37i9dQZF1DX2jpVXYbZ1Zw.Classical World: Norway.artist.txt;22;2.590909090909091;4.909090909090909;11.545454545454545
32;37i9dQZF1DX2mmt7R81K2b.Jazz – Classical Crossings.artist.txt;21;3.5238095238095237;4.904761904761905;8.523809523809524
33;37i9dQZF1DX43qoHiOOgIz.Classical World: Mexico.artist.txt;27;2.2222222222222223;3.5925925925925926;11.11111111111111
34;37i9dQZF1DX4s3V2rTswzO.Classical Romance.artist.txt;86;25.36046511627907;37.16279069767442;45.872093023255815
35;37i9dQZF1DX561TxkFttR4.88 Keys.artist.txt;22;4.409090909090909;5.7272727272727275;8.272727272727273
36;37i9dQZF1DX5AviTMPF0km.Contemporary Chinese Classical.artist.txt;9;2.2222222222222223;4.0;5.777777777777778
37;37i9dQZF1DX5hL1aT2vhMb.Women of Classical.artist.txt;37;4.108108108108108;7.5675675675675675;17.37837837837838
38;37i9dQZF1DX6Cc1xytKlor.Classical World: Argentina.artist.txt;19;2.263157894736842;4.894736842105263;10.842105263157896
39;37i9dQZF1DX6K3W8KBiALe.Classical Moments in Movies.artist.txt;41;8.365853658536585;13.21951219512195;17.414634146341463
40;37i9dQZF1DX6Oqe1LC2A2s.Next Classical.artist.txt;28;4.714285714285714;8.785714285714286;17.714285714285715
41;37i9dQZF1DX6gv78LyipEI.Classical World: Australia & New Zealand.artist.txt;19;1.7894736842105263;3.8421052631578947;10.052631578947368
42;37i9dQZF1DX6lFrpdIb4I8.Avant-garde 50: Spotify Picks.artist.txt;35;8.571428571428571;13.4;21.485714285714284
43;37i9dQZF1DX72wg2crHeWu.30 Before 20: Masterworks by Teenagers.artist.txt;25;11.36;16.32;18.44
44;37i9dQZF1DX75gMjYMWCsk.Queer Composers.artist.txt;42;6.380952380952381;12.666666666666666;25.714285714285715
45;37i9dQZF1DX77PFyUDrf10.Classical World: Canada.artist.txt;24;4.208333333333333;7.375;13.333333333333334
46;37i9dQZF1DX7TvcXU5TLWg.Spotify Orchestra: Violin.artist.txt;93;21.70967741935484;35.0;56.666666666666664
47;37i9dQZF1DX7cBprxbt1Fn.Gentle Classical: From Dusk till Dawn.artist.txt;91;19.054945054945055;31.857142857142858;49.32967032967033
48;37i9dQZF1DX7dzHXrANAir.Classical X.artist.txt;24;3.4583333333333335;6.208333333333333;12.875
49;37i9dQZF1DX8GBmCO89g8U.Electroacoustic 50: Spotify Picks.artist.txt;29;9.793103448275861;14.0;19.0
50;37i9dQZF1DX8ONeLSIu0Ai.Modernism 50: Spotify Picks.artist.txt;46;13.217391304347826;18.717391304347824;27.043478260869566
51;37i9dQZF1DX8qDhzfjyTN6.Romantic Era 50: Spotify Picks.artist.txt;45;25.066666666666666;30.133333333333333;31.266666666666666
