index;playlist;population;predicted100;predicted200;predicted500
0;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.artist.txt;40;2.25;4.6;11.95
1;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.artist.txt;31;2.5161290322580645;5.451612903225806;13.096774193548388
2;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.artist.txt;22;1.2727272727272727;2.909090909090909;7.7727272727272725
3;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.artist.txt;44;3.977272727272727;8.022727272727273;21.09090909090909
4;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.artist.txt;34;3.5;6.764705882352941;17.11764705882353
5;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.artist.txt;49;5.020408163265306;9.714285714285714;24.0
6;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.artist.txt;27;2.4074074074074074;5.62962962962963;13.296296296296296
7;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.artist.txt;45;4.4222222222222225;9.244444444444444;22.8
8;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.artist.txt;43;3.372093023255814;7.767441860465116;19.511627906976745
9;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.artist.txt;46;4.065217391304348;8.326086956521738;21.391304347826086
10;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.artist.txt;92;6.5;12.543478260869565;31.119565217391305
11;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.artist.txt;46;4.630434782608695;8.978260869565217;21.804347826086957
12;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.artist.txt;92;7.684782608695652;15.26086956521739;38.20652173913044
13;37i9dQZF1DWWcdoD971JiK.Art of Fugue.artist.txt;32;2.4375;5.53125;12.75
14;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.artist.txt;49;5.142857142857143;9.591836734693878;24.040816326530614
15;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.artist.txt;25;2.16;4.6;11.2
16;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.artist.txt;41;2.926829268292683;6.073170731707317;16.29268292682927
17;37i9dQZF1DWXMEbgClM8hw.All About That Brass.artist.txt;39;3.4358974358974357;7.641025641025641;17.871794871794872
18;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.artist.txt;48;4.3125;8.604166666666666;21.104166666666668
19;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.artist.txt;38;3.763157894736842;7.368421052631579;18.473684210526315
20;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.artist.txt;33;2.303030303030303;4.696969696969697;12.030303030303031
21;37i9dQZF1DWYi4w24l7FTx.Spotify Orchestra: Cello.artist.txt;44;3.909090909090909;7.863636363636363;20.25
22;37i9dQZF1DWYiS8hkmdLyc.Classical World: Belgium & The Netherlands.artist.txt;28;3.0714285714285716;5.714285714285714;13.535714285714286
23;37i9dQZF1DWYtpM7d4h5Xa.Pop Songs Based on Classical Music.artist.txt;43;3.0;6.372093023255814;16.674418604651162
24;37i9dQZF1DWZm0IlR3JPVY.Spring Classical.artist.txt;46;3.5869565217391304;6.826086956521739;17.782608695652176
25;37i9dQZF1DX0CM2xT3aAkN.Essence of the Renaissance.artist.txt;46;3.782608695652174;7.434782608695652;18.195652173913043
26;37i9dQZF1DX0i61tT0OnnK.Space-themed Classical Music.artist.txt;55;4.654545454545454;9.6;23.527272727272727
27;37i9dQZF1DX0ynPp7KaiSY.Winter Classical.artist.txt;45;3.8222222222222224;7.5777777777777775;19.244444444444444
28;37i9dQZF1DX10uaP8FoDNe.Minimalism.artist.txt;30;2.6333333333333333;5.7;13.466666666666667
29;37i9dQZF1DX1uiBEEB5wRG.Piano Transcriptions 50: Spotify Picks.artist.txt;42;3.0714285714285716;6.333333333333333;14.952380952380953
