index;playlist;population;predicted100;predicted200;predicted500
0;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.artist.txt;40;8.475;15.05;21.0
1;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.artist.txt;31;4.387096774193548;6.870967741935484;12.32258064516129
2;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.artist.txt;22;5.2272727272727275;7.954545454545454;10.227272727272727
3;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.artist.txt;44;7.045454545454546;11.431818181818182;24.363636363636363
4;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.artist.txt;34;16.11764705882353;22.470588235294116;30.147058823529413
5;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.artist.txt;49;6.857142857142857;11.122448979591837;23.122448979591837
6;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.artist.txt;27;3.888888888888889;7.185185185185185;16.11111111111111
7;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.artist.txt;45;7.155555555555556;12.177777777777777;27.377777777777776
8;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.artist.txt;43;10.813953488372093;19.27906976744186;33.74418604651163
9;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.artist.txt;46;10.195652173913043;17.891304347826086;30.97826086956522
10;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.artist.txt;92;15.195652173913043;27.402173913043477;42.141304347826086
11;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.artist.txt;46;6.217391304347826;11.782608695652174;31.847826086956523
12;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.artist.txt;92;20.77173913043478;35.57608695652174;56.641304347826086
13;37i9dQZF1DWWcdoD971JiK.Art of Fugue.artist.txt;32;7.28125;11.6875;19.34375
14;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.artist.txt;49;8.36734693877551;16.93877551020408;34.46938775510204
15;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.artist.txt;25;2.28;4.72;11.4
16;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.artist.txt;41;4.804878048780488;9.0;20.0
17;37i9dQZF1DWXMEbgClM8hw.All About That Brass.artist.txt;39;5.153846153846154;9.051282051282051;21.358974358974358
18;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.artist.txt;48;32.708333333333336;35.208333333333336;38.9375
19;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.artist.txt;38;8.789473684210526;16.05263157894737;30.236842105263158
20;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.artist.txt;33;17.181818181818183;20.424242424242426;22.303030303030305
21;37i9dQZF1DWYi4w24l7FTx.Spotify Orchestra: Cello.artist.txt;44;12.090909090909092;20.477272727272727;29.704545454545453
