index;playlist;population;predicted100;predicted200;predicted500
0;01744f43-1b15-3416-9aa1-a99e8a997bdf;9;4.555555555555555;4.555555555555555;4.555555555555555
1;01c243d4-6675-3e8b-b071-ac882a3d2093;10;3.2;3.5;5.2
2;01dc0bf2-8070-33c6-aeba-ed604a204624;7;1.4285714285714286;2.2857142857142856;3.5714285714285716
3;01f0a718-2509-37a1-8a1f-0ef2835332b3;11;1.1818181818181819;2.090909090909091;3.6363636363636362
4;0249bdd1-ee1e-376e-9e2d-d7381cfa7194;7;5.142857142857143;5.142857142857143;5.142857142857143
5;02667e74-fd0d-317f-bdfc-74c109334f2a;10;3.8;3.8;4.4
6;035f8ca0-fb0f-3914-898c-9b17fa367daa;12;3.0833333333333335;3.8333333333333335;3.8333333333333335
7;0394db22-aac7-38b6-af51-2324e1c59b97;11;3.1818181818181817;3.1818181818181817;3.1818181818181817
8;03f5fe07-6117-3dfc-b2a1-6393f2498f00;10;2.2;2.6;4.8
9;04f93588-c59c-34ca-8f06-045cce3dd51d;8;4.0;4.0;4.0
10;055e3f3d-b078-3e38-909a-a654166b28e9;13;6.6923076923076925;7.230769230769231;8.692307692307692
11;066d95e4-1de9-3394-b860-4916162545a8;10;0.9;1.3;2.9
12;06e101d5-a976-3ec7-9c68-7f5164e5e84a;18;3.4444444444444446;4.333333333333333;4.555555555555555
13;071120d3-13bc-3ae5-83e9-52214f42ec17;18;3.1666666666666665;3.3333333333333335;3.7777777777777777
14;071be0c9-e4dc-30ac-949d-3598f457528d;10;2.2;2.2;3.1
15;074ffafa-3ea2-32a3-8c1d-eaf79ed3f37e;11;0.8181818181818182;1.6363636363636365;3.0
16;0822a72a-6697-3a11-8e76-cf301ffbb197;13;4.384615384615385;4.384615384615385;6.538461538461538
17;08c18e38-c710-37d7-a1b5-1bd9d2eac80f;12;1.3333333333333333;1.5;2.3333333333333335
18;0a2e8bab-a762-3e13-8a1e-236c31976b75;14;10.0;10.142857142857142;10.285714285714286
19;0cb2d83e-fd4c-3990-8867-7db84dc03da1;8;7.0;7.0;7.0
20;0d25b93f-41c2-3e77-87f2-2a5a498fe066;14;3.5;3.642857142857143;4.571428571428571
21;0d777f09-6203-3f74-995f-bbde1953afb6;7;4.285714285714286;4.285714285714286;5.142857142857143
22;0ec5751b-4b03-357d-81c5-e14c6197dfc2;12;6.666666666666667;6.75;6.75
23;103cc539-0ebe-33a2-b790-3357f7a79ccc;8;5.25;5.25;5.25
24;11a804a9-a192-3a94-b931-6a00d8d8d23f;8;0.75;1.0;1.375
25;11b9bb02-5283-3d93-ae22-4d4b3203cb3a;11;2.1818181818181817;3.1818181818181817;4.545454545454546
26;11bc07db-bd49-3f16-bd4e-5c7228853400;25;20.0;20.0;20.0
27;1204c39d-8614-3ac5-ae17-046f3ac25f0d;8;1.125;1.625;2.125
28;12ca92f1-73e3-32a0-9644-df8445d42fc0;15;5.333333333333333;6.266666666666667;9.2
29;13c73228-c809-32b2-8c18-50cb55a14daf;7;2.142857142857143;2.4285714285714284;4.857142857142857
30;1437bffc-f36c-318b-8946-139aea81353e;8;1.125;1.5;2.25
31;14891388-4759-373f-987e-8e3a5b264aae;12;1.25;1.9166666666666667;2.5833333333333335
32;14b7680e-49ac-399a-a8d8-2db10a3c0c73;11;10.0;10.0;10.0
33;188d336b-c6b5-3991-969b-f62ec049b8e3;13;1.3076923076923077;2.5384615384615383;7.769230769230769
34;19b65369-f6c1-3725-a2ea-019005f9d309;11;6.0;6.0;6.0
35;1a438648-c6ac-3028-98bf-3fc5f9a03f34;13;3.076923076923077;3.8461538461538463;4.461538461538462
36;1a737c3f-1565-3047-808e-ffc9798129c6;10;5.2;5.7;6.6
37;1c14dfd1-a33c-3445-af73-a1835813f102;9;2.888888888888889;3.6666666666666665;6.111111111111111
38;1c8643ed-8928-30fb-83bb-dbb6a72c1756;13;6.923076923076923;7.0;8.615384615384615
39;1d2f23fd-fc6b-341d-8542-153e8d3da445;19;3.0526315789473686;6.473684210526316;10.473684210526315
40;1d7c3b21-f3a1-3db3-b3b0-83f1190c9683;17;4.352941176470588;4.352941176470588;6.117647058823529
41;1da8ba20-60b0-32e3-91b8-5e7d489d4403;18;13.333333333333334;13.333333333333334;13.5
42;1dfcc446-e8b3-3783-8724-485d0f14274f;18;1.3333333333333333;1.5;1.8888888888888888
43;1ea12574-9628-31da-a56d-f4deb3d2373a;9;2.5555555555555554;2.7777777777777777;4.888888888888889
44;1f9a5d3e-67b0-3816-9e3f-ae3acc5a5e41;10;5.2;6.7;7.4
45;209aa32e-63e1-3c64-afd6-391896433af6;8;0.5;0.625;1.125
46;21deabc0-ef7a-3b98-9316-e8a14faf1c86;17;3.1176470588235294;3.764705882352941;6.117647058823529
47;21e4097c-62ef-32d8-8307-4813ac31180d;18;10.444444444444445;13.277777777777779;13.61111111111111
48;24058986-3ed6-33b4-ab16-5ba38fe74c17;20;7.6;8.85;16.15
49;247d400d-438a-3977-a638-5f93d8c3f527;8;1.625;1.75;3.5
50;24ddb29d-d00f-37cf-b162-9afde326a2e0;21;4.761904761904762;4.809523809523809;5.666666666666667
51;25be778e-a7ce-3e4c-a71a-48939ee1c9aa;9;3.111111111111111;3.3333333333333335;3.5555555555555554
52;25c29795-957a-3906-9094-553e0401952e;10;2.9;3.4;4.9
53;266a792e-c1b6-38a0-bf4c-a85e8ab69cec;7;1.5714285714285714;1.5714285714285714;1.8571428571428572
54;26e06b0f-1540-3cb3-85bd-97402b5a5ad9;13;4.769230769230769;5.0;5.461538461538462
55;27878214-f630-36cf-a953-75cf0fc0e70e;17;4.9411764705882355;5.117647058823529;6.411764705882353
56;2793e9e1-7c61-3d20-b5b8-0b9200f536f6;10;8.1;9.0;9.0
57;27c9c921-1c28-34d8-ae7c-c9b4d453ea9c;7;0.5714285714285714;1.4285714285714286;1.4285714285714286
58;27cb5183-5c1a-35b8-8485-0ac27d205cfb;8;1.25;1.375;2.5
59;27dcb154-b1b8-35a7-8f5d-e8ef1895a056;9;8.0;8.0;8.0
60;2915d57b-6684-3497-a16a-d06e6e96d944;17;8.294117647058824;8.294117647058824;8.352941176470589
61;29bd24ee-4b01-3631-adcb-6d38d1919866;7;2.0;2.0;2.5714285714285716
62;29c39e85-051a-32ba-830c-7ea0187d56c7;20;5.7;5.7;7.3
63;29c90438-28ed-33b5-9147-7cec20a55385;19;5.0;6.684210526315789;8.947368421052632
64;29dbf744-7d47-3760-84ec-f24ac13c60f8;16;4.5;6.75;7.375
65;2b06c414-f5e5-3441-ad84-55911978bd35;7;3.5714285714285716;3.5714285714285716;3.5714285714285716
66;2b644a22-68b6-355d-89de-f28bfd98b047;8;1.875;3.25;4.75
67;2d3e9cb8-ae34-329e-b665-0e914c2a4dab;16;4.0625;11.375;11.5
68;2d40e2b4-aa36-3f09-9aa4-6d52e905394e;15;5.933333333333334;6.866666666666666;9.4
69;2d853d95-56bc-3e62-bdb4-21b00dc8c086;11;5.545454545454546;5.636363636363637;6.454545454545454
70;2e2a543d-efe6-3b2b-8777-4ffb902ed554;8;1.125;1.75;2.125
71;2f321ce1-6572-392e-8ba6-1e2c1b204ae9;7;0.8571428571428571;1.2857142857142858;2.5714285714285716
72;3065fdd9-4892-3e38-8671-5ee0a138f91e;16;4.25;4.3125;6.5625
73;30bff4cf-adb4-3909-958f-0935ddfaae51;7;1.4285714285714286;1.8571428571428572;2.5714285714285716
74;32a9cb42-7fde-3ba5-be84-9900a19dea56;16;6.4375;8.8125;11.4375
75;339cb03b-7a2c-36f2-8ec1-f1787246248a;20;1.85;2.55;3.8
76;3437d4ed-562e-35b3-ab5c-a8f7b54dd000;23;4.217391304347826;6.608695652173913;11.08695652173913
77;354a224e-a884-38f4-a2a3-340c1148fec8;7;1.1428571428571428;1.2857142857142858;1.5714285714285714
78;35717220-e502-3b10-8039-6aaac05dd734;8;3.125;3.25;3.25
79;3579b190-4f3e-3598-b61c-61cefb2d4113;9;8.0;8.0;8.0
80;3620fda7-648f-3a22-b9f9-891dc8551fee;8;2.0;2.0;3.125
81;36bbea2e-db2a-37ef-9c1c-30a49fb4c53a;12;4.666666666666667;4.666666666666667;4.75
82;372184ef-e3c1-3b41-8006-26c7db76831a;7;1.0;1.1428571428571428;1.4285714285714286
83;376c98d3-fcf9-374d-b302-d15f45ff2fb3;21;20.0;20.0;20.0
84;37fa8a3e-b6ea-344a-98a1-f886571e0234;10;1.4;1.4;1.4
85;38b4c818-0a40-3e28-984e-a69e1fdb2e83;12;5.166666666666667;7.25;7.583333333333333
86;38c60507-8a7c-3346-ac82-7b05f49b7bb1;8;1.0;1.375;1.75
87;38de57d7-d920-3dce-a97c-92480fce1d76;7;6.0;6.0;6.0
88;38f45814-8f32-39ce-a564-7616b24c4e66;22;14.090909090909092;14.863636363636363;18.045454545454547
89;3944a014-c594-3b88-9b51-ce60fdf333cb;9;3.5555555555555554;3.5555555555555554;3.5555555555555554
90;39d0b9db-871e-3cc3-aa6e-55f8c8fcd554;7;2.5714285714285716;2.5714285714285716;4.285714285714286
91;3abcb8f7-6cca-3727-be42-8f3a7b8ecc49;14;2.7857142857142856;3.0;3.0714285714285716
92;3ad553a4-d4b1-313c-99c6-48f0eb8b6a4f;9;4.444444444444445;8.0;8.0
93;3ceb5a40-b293-38e8-bc46-a216534083a9;16;2.25;2.8125;3.75
94;3d361057-7368-38fc-8f16-93c54f90d5c1;7;0.14285714285714285;0.42857142857142855;0.42857142857142855
95;3d55244d-9b4a-37aa-a5a6-5201b770ed2f;7;1.4285714285714286;3.4285714285714284;4.285714285714286
96;3dd69ca7-c501-386e-9565-d2bbb3c4f1a9;10;4.2;4.2;5.3
97;3dd9aa8f-0a86-3aa5-994d-360a3057d13e;7;1.1428571428571428;2.0;2.857142857142857
98;3fb92efb-6b3d-34c7-a990-a15360ec3c17;7;0.8571428571428571;1.2857142857142858;1.8571428571428572
99;3ff19732-940b-3159-acb2-218d28480bc1;8;6.75;7.0;7.0
100;3ff639ca-f2c8-38a5-8a4b-82feaeaaa5b8;7;3.5714285714285716;4.285714285714286;4.285714285714286
101;41496b95-1d32-31f3-8c86-8342a2b75800;23;2.9565217391304346;3.391304347826087;4.608695652173913
102;43cf95e0-9a0c-3692-95c4-25cc2e5a737e;9;1.4444444444444444;1.6666666666666667;1.7777777777777777
103;43f6671d-75ae-304c-9bff-6a266e270034;12;9.083333333333334;9.166666666666666;9.166666666666666
104;4412fb8c-9814-386b-befa-4b85e5163313;8;5.25;5.25;5.25
105;441d4d36-474c-3e49-a1c6-b7624fe74433;13;11.076923076923077;11.076923076923077;11.076923076923077
106;4571ea49-b1be-3b0b-95a4-615c3ce77095;7;4.285714285714286;5.142857142857143;5.142857142857143
107;46026891-c323-39b7-b841-f766e25c582f;7;6.0;6.0;6.0
108;46621ad0-dc61-3a4c-8dcf-48fb80134abc;18;1.5;1.6666666666666667;2.388888888888889
109;4776e03a-7e05-3411-8f9f-d41133b91ce5;17;9.176470588235293;9.176470588235293;9.176470588235293
110;483aca42-84d5-333e-80b6-356116bd29ca;7;1.4285714285714286;2.2857142857142856;3.857142857142857
111;4a0f2b92-9714-3608-ad82-82ff15ec59b8;11;0.2727272727272727;0.5454545454545454;0.9090909090909091
112;4ac03892-97c5-306e-b1af-e0082f51fbac;18;1.8888888888888888;2.4444444444444446;3.7777777777777777
113;4ad767ea-2ce5-3a17-b6da-88179094ffa5;8;0.75;0.875;1.375
114;4c3a50e0-70a5-33a8-85f8-3bf9a951cc09;8;7.0;7.0;7.0
115;4da949da-93d0-39b8-bdde-2b5953d164f9;9;1.7777777777777777;1.7777777777777777;3.111111111111111
116;4daefe90-f740-3e60-8c3d-d9db361580a1;11;1.1818181818181819;1.5454545454545454;1.9090909090909092
