index;playlist;population;predicted100;predicted200;predicted500
0;0K7eJJa4mjtkp8pcBhvtpR.Need to Know: Vivaldi.expression.txt;18;4.0;5.944444444444445;12.222222222222221
1;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.expression.txt;29;2.7241379310344827;4.689655172413793;10.96551724137931
2;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.expression.txt;14;1.0714285714285714;2.142857142857143;5.142857142857143
3;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.expression.txt;16;1.5;2.8125;5.6875
4;37i9dQZF1DWSMyxanxz54I.Jean Sibelius - Composer Weekly #005.expression.txt;28;4.714285714285714;8.0;15.178571428571429
5;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.expression.txt;16;1.125;2.25;5.25
6;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.expression.txt;16;6.875;8.1875;12.1875
7;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.expression.txt;27;2.6666666666666665;4.666666666666667;10.74074074074074
8;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.expression.txt;14;1.9285714285714286;2.642857142857143;5.357142857142857
9;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.expression.txt;20;2.9;4.2;7.5
10;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.expression.txt;27;1.0740740740740742;2.5555555555555554;7.888888888888889
11;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.expression.txt;23;1.9130434782608696;3.652173913043478;6.086956521739131
12;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.expression.txt;59;19.203389830508474;24.694915254237287;33.83050847457627
13;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.expression.txt;30;2.9;4.7;10.733333333333333
14;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.expression.txt;72;5.805555555555555;10.847222222222221;27.194444444444443
15;37i9dQZF1DWWcdoD971JiK.Art of Fugue.expression.txt;23;2.9565217391304346;4.782608695652174;12.521739130434783
16;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.expression.txt;25;2.2;3.52;9.48
17;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.expression.txt;12;1.4166666666666667;2.6666666666666665;5.5
18;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.expression.txt;21;3.0476190476190474;4.523809523809524;8.0
19;37i9dQZF1DWXMEbgClM8hw.All About That Brass.expression.txt;10;0.8;1.5;3.1
20;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.expression.txt;30;5.733333333333333;8.966666666666667;17.5
21;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.expression.txt;24;2.0833333333333335;3.9583333333333335;9.75
22;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.expression.txt;19;16.94736842105263;17.05263157894737;17.157894736842106
