index;playlist;population;predicted100;predicted200;predicted500
0;0K7eJJa4mjtkp8pcBhvtpR.Need to Know: Vivaldi.expression.txt;18;1.0;2.7222222222222223;6.5
1;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.expression.txt;29;1.9655172413793103;3.8275862068965516;10.03448275862069
2;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.expression.txt;14;0.7857142857142857;1.5714285714285714;4.357142857142857
3;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.expression.txt;16;0.75;1.6875;4.5
4;37i9dQZF1DWSMyxanxz54I.Jean Sibelius - Composer Weekly #005.expression.txt;28;1.7142857142857142;3.6785714285714284;9.428571428571429
5;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.expression.txt;16;1.4375;2.0625;5.3125
6;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.expression.txt;16;1.125;1.8125;4.875
7;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.expression.txt;27;1.9259259259259258;4.074074074074074;9.62962962962963
8;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.expression.txt;14;0.5714285714285714;1.5714285714285714;4.285714285714286
9;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.expression.txt;20;1.0;2.4;6.5
10;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.expression.txt;27;1.8888888888888888;3.888888888888889;9.222222222222221
11;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.expression.txt;23;1.565217391304348;3.217391304347826;7.739130434782608
12;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.expression.txt;59;4.440677966101695;7.915254237288136;20.1864406779661
13;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.expression.txt;30;2.1666666666666665;4.166666666666667;10.133333333333333
14;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.expression.txt;72;5.097222222222222;10.027777777777779;25.15277777777778
15;37i9dQZF1DWWcdoD971JiK.Art of Fugue.expression.txt;23;1.8695652173913044;3.260869565217391;8.521739130434783
16;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.expression.txt;25;1.4;2.92;8.72
17;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.expression.txt;12;0.8333333333333334;1.8333333333333333;3.5
18;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.expression.txt;21;1.619047619047619;2.857142857142857;7.333333333333333
19;37i9dQZF1DWXMEbgClM8hw.All About That Brass.expression.txt;10;1.1;1.6;3.6
20;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.expression.txt;30;2.033333333333333;4.4;10.666666666666666
21;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.expression.txt;24;1.7916666666666667;3.2083333333333335;8.166666666666666
22;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.expression.txt;19;1.0526315789473684;2.3157894736842106;6.2631578947368425
23;37i9dQZF1DWYi4w24l7FTx.Spotify Orchestra: Cello.expression.txt;27;2.2222222222222223;4.37037037037037;10.333333333333334
