index;playlist;population;predicted100;predicted200;predicted500
0;0K7eJJa4mjtkp8pcBhvtpR.Need to Know: Vivaldi.expression.txt;18;4.5;6.555555555555555;12.61111111111111
1;1NNYUduxzrtLDYoyTjAMmW.Je n'aime pas le Classique.expression.txt;29;2.4827586206896552;4.068965517241379;10.793103448275861
2;2FfAi71dM3LJ9UwghwxEtF.Sleep Time.expression.txt;14;0.8571428571428571;2.357142857142857;5.214285714285714
3;2MGfLgZXgSXDsYN3CzaNps.Werken met Klassiek.expression.txt;16;1.6875;2.875;5.6875
4;37i9dQZF1DWSMyxanxz54I.Jean Sibelius - Composer Weekly #005.expression.txt;28;5.25;8.964285714285714;17.642857142857142
5;37i9dQZF1DWSPYCQqDPtY7.Spotify Orchestra: Double Bass.expression.txt;16;1.1875;2.25;5.5
6;37i9dQZF1DWSXyN2w7ILMl.Peaceful Choral Music by Living Composers.expression.txt;16;7.125;9.0;12.5
7;37i9dQZF1DWTZaA3VFnR5i.Classical World: UK & Ireland.expression.txt;27;2.4444444444444446;4.2592592592592595;10.296296296296296
8;37i9dQZF1DWUL3kA2TtHbs.Classical World: Finland.expression.txt;14;1.6428571428571428;2.5714285714285716;5.857142857142857
9;37i9dQZF1DWUfMnnPBigKP.Symphony of the Winds.expression.txt;20;2.75;4.1;8.3
10;37i9dQZF1DWV0gynK7G6pD.Classical New Releases: Spotify Picks.expression.txt;27;1.0740740740740742;2.5925925925925926;7.851851851851852
11;37i9dQZF1DWVQTBWd2FvK6.Spotify Orchestra: Viola.expression.txt;23;2.0869565217391304;3.1739130434782608;6.521739130434782
12;37i9dQZF1DWVfS4Cdd3PNf.Opera 100: Spotify Picks.expression.txt;59;15.067796610169491;20.220338983050848;29.64406779661017
13;37i9dQZF1DWW97v8hMjYEZ.Classical World: Spain.expression.txt;30;2.8333333333333335;4.566666666666666;10.8
14;37i9dQZF1DWWEJlAGA9gs0.Classical Essentials.expression.txt;72;5.555555555555555;10.777777777777779;28.38888888888889
15;37i9dQZF1DWWcdoD971JiK.Art of Fugue.expression.txt;23;2.8260869565217392;5.956521739130435;13.91304347826087
16;37i9dQZF1DWWusEYOQAF3N.Classical World: Italy.expression.txt;25;1.56;3.0;8.72
17;37i9dQZF1DWWz5UlCOYxeE.Classical World: Denmark.expression.txt;12;1.75;2.5;5.5
18;37i9dQZF1DWXBq4mDDFnfA.Classical Guitar 50: Spotify Picks.expression.txt;21;2.380952380952381;4.0;7.619047619047619
19;37i9dQZF1DWXMEbgClM8hw.All About That Brass.expression.txt;10;0.7;1.8;3.9
20;37i9dQZF1DWXjj6kdiviS0.Baroque 50: Spotify Picks.expression.txt;30;5.9;9.366666666666667;17.133333333333333
21;37i9dQZF1DWYMDP0EcdRK6.Classical World: Austria.expression.txt;24;2.2083333333333335;3.9166666666666665;9.875
22;37i9dQZF1DWYZW76Iw4Lij.Medieval 50: Spotify Picks.expression.txt;19;16.94736842105263;17.157894736842106;17.94736842105263
23;37i9dQZF1DWYi4w24l7FTx.Spotify Orchestra: Cello.expression.txt;27;3.8518518518518516;7.222222222222222;15.222222222222221
24;37i9dQZF1DWYiS8hkmdLyc.Classical World: Belgium & The Netherlands.expression.txt;11;2.090909090909091;2.909090909090909;4.363636363636363
25;37i9dQZF1DWYtpM7d4h5Xa.Pop Songs Based on Classical Music.expression.txt;28;2.3214285714285716;3.9642857142857144;9.357142857142858
26;37i9dQZF1DWZm0IlR3JPVY.Spring Classical.expression.txt;29;3.0689655172413794;5.310344827586207;13.517241379310345
27;37i9dQZF1DWZsmkMiH7wkJ.John Adams - Composer Weekly #067.expression.txt;17;7.0588235294117645;9.588235294117647;11.529411764705882
28;37i9dQZF1DX0CM2xT3aAkN.Essence of the Renaissance.expression.txt;21;10.571428571428571;11.142857142857142;12.904761904761905
29;37i9dQZF1DX0i61tT0OnnK.Space-themed Classical Music.expression.txt;13;2.5384615384615383;4.076923076923077;6.076923076923077
30;37i9dQZF1DX0ynPp7KaiSY.Winter Classical.expression.txt;24;1.1666666666666667;2.375;7.958333333333333
31;37i9dQZF1DX10uaP8FoDNe.Minimalism.expression.txt;12;3.8333333333333335;5.666666666666667;7.25
32;37i9dQZF1DX1uiBEEB5wRG.Piano Transcriptions 50: Spotify Picks.expression.txt;30;3.8666666666666667;7.6;15.166666666666666
33;37i9dQZF1DX20xDs0SXeZu.Classical Era 50: Spotify Picks.expression.txt;37;7.756756756756757;13.162162162162161;28.594594594594593
34;37i9dQZF1DX21bRPJuEN7r.Composer Weekly: Roger Quilter.expression.txt;14;8.142857142857142;8.285714285714286;8.357142857142858
35;37i9dQZF1DX3pxhv0SnNNN.Steve Reich - Composer Weekly #048.expression.txt;24;8.041666666666666;10.833333333333334;13.666666666666666
36;37i9dQZF1DX43qoHiOOgIz.Classical World: Mexico.expression.txt;11;1.3636363636363635;2.0;3.909090909090909
37;37i9dQZF1DX4s3V2rTswzO.Classical Romance.expression.txt;67;7.358208955223881;14.940298507462687;33.32835820895522
38;37i9dQZF1DX5hL1aT2vhMb.Women of Classical.expression.txt;8;0.375;0.875;3.125
39;37i9dQZF1DX6Cc1xytKlor.Classical World: Argentina.expression.txt;11;0.6363636363636364;1.3636363636363635;4.2727272727272725
40;37i9dQZF1DX6K3W8KBiALe.Classical Moments in Movies.expression.txt;25;2.44;3.64;9.16
