channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
404,4,2017-01-09T00:01:04+01:00,00:04:54:00,,Atje te ura në lumë,Albanie/Pays labë/Plaintes et chants d'amour,2004-01-01,,Musique traditionnelle,Nazif Celaj;Nikolin Likaj;Arap Celoleskaj;Fatbardha Brahimi;Teki Kanani;Manush Brahimi;Muhamet Tartari,Voix;Voix;Voix;Voix;Voix;Voix;Voix,,,
404,5,2017-01-09T00:05:58+01:00,00:02:37:00,,Kam qenë sevdalli për këngë,Albanie/Pays labë/Plaintes et chants d'amour,2004-01-01,,Musique traditionnelle,Nazif Celaj;Nikolin Likaj;Arap Celoleskaj;Fatbardha Brahimi;Teki Kanani;Manush Brahimi;Muhamet Tartari,Voix;Voix;Voix;Voix;Voix;Voix;Voix,,,
404,6,2017-01-09T00:08:35+01:00,00:03:01:00,,Dalle himariote dale !,Albanie/Pays labë/Plaintes et chants d'amour,2004-01-01,,Musique traditionnelle,Nazif Celaj;Nikolin Likaj;Arap Celoleskaj;Fatbardha Brahimi;Teki Kanani;Manush Brahimi;Muhamet Tartari,Voix;Voix;Voix;Voix;Voix;Voix;Voix,,,
404,9,2017-01-09T00:12:35+01:00,00:02:21:00,,Rachenitsa nuptiale,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,Ensemble Instumental D'Osenet,,,,
404,10,2017-01-09T00:14:56+01:00,00:01:13:00,,L'eau coule,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,,,,,
404,11,2017-01-09T00:16:09+01:00,00:01:52:00,,Rachenitsa,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,Kancho Tonev,,,,
404,12,2017-01-09T00:18:01+01:00,00:01:55:00,,Chant et ronde,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,Mihail Kalfov,,,,
404,13,2017-01-09T00:19:56+01:00,00:02:16:00,,Ronde,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,Asen Rizoikov,,,,
404,14,2017-01-09T00:22:12+01:00,00:02:15:00,,Hé toi la belle fille !,Bulgarie / Traditions vocales,1998-01-01,,Musique traditionnelle,Dimiter Petkovski,,,,
404,17,2017-01-09T00:25:19+01:00,00:01:15:00,,Zbira junak deklice,Croatie : Musiques d'autrefois,1997-01-01,,Musique du monde,Groupe De Tamburica,,,,
404,18,2017-01-09T00:26:34+01:00,00:03:03:00,,Sokacko kolo,Croatie : Musiques d'autrefois,1997-01-01,,Musique du monde,,,,,
404,19,2017-01-09T00:29:37+01:00,00:01:14:00,,Prigorska svadbena polka,Croatie : Musiques d'autrefois,1997-01-01,,Musique du monde,Groupe De Tamburica De Mikulici,,,,
404,20,2017-01-09T00:30:51+01:00,00:01:01:00,,Na dobro van novi,Croatie : Musiques d'autrefois,1997-01-01,,Musique du monde,Chanteuses De Jezera,,,,
404,21,2017-01-09T00:31:52+01:00,00:02:11:00,,Svet ivane 6 moga trogira,Croatie : Musiques d'autrefois,1997-01-01,,Musique du monde,Chanteurs De Trogir,,,,
