channel,id,datetime,duration,composer,title,album,publication,instrumental,genre,interpreter,mop,best,best_matching_score,composer_uri
407,3,2017-04-17T12:00:03+02:00,00:00:27:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Sinfonia (Prologue) (instrumental),Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,4,2017-04-17T12:00:30+02:00,00:00:46:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Mortal cosa son io (Prologue) La Fragilité humaine,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,5,2017-04-17T12:01:16+02:00,00:01:55:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Salvo è niente (Prologue) Le Temps et La Fragilité humaine,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,6,2017-04-17T12:03:11+02:00,00:01:46:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Mia vita son voglie (Prologue) La Fortune et La Fragilité humaine,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,7,2017-04-17T12:04:57+02:00,00:01:48:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Dio de' dei feritor (Prologue) L'Amour et La Fragilité humaine,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,8,2017-04-17T12:06:45+02:00,00:01:23:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Per me fragile (Prologue) Le Temps La Fortune et l'Amour,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,9,2017-04-17T12:08:08+02:00,00:04:33:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Di misera regina (Acte I Sc 1) Pénélope,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,10,2017-04-17T12:12:41+02:00,00:05:53:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Torna deh torna Ulisse (Acte I Sc 1) Eryclée et Pénélope,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,11,2017-04-17T12:18:34+02:00,00:06:32:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Duri e penosi (Acte I Sc 2) Mélantho et Eurimaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/a76b7c6b-01fa-3645-8ade-514fb0e11168,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
407,12,2017-04-17T12:25:06+02:00,00:04:29:00,Claudio Monteverdi,Il ritorno d'Ulisse in patria SV 325 : Dolce mia vita sei (Acte I Sc 2) Mélantho et Eurimaque,Il ritorno d'Ulisse in patria SV 325 (intégrale),2012-01-01,,Opéra,Anicio Zorzi Giustiniani;Roberta Mameli;Giorgia Milanesi;Vincenzo Di Donato;Luca Dordolo;Paolo Antognetti;La Venexiana;Claudio Cavina,Ténor Ulysse;Soprano Minerva;Soprano Junon / La Fortune;Ténor Jupiter;Ténor Iro;Ténor Eumée;Orchestre;Chef d'orchestre,http://data.doremus.org/expression/c082229f-4143-32b5-aab2-8b665e9a28f1,0.81,http://data.doremus.org/artist/b0ae695c-4198-39f2-a615-9098899d59b3
